GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jmztabm-api,de.isas.lipidomics.mztab2.validation.validators,ParameterValidator,36,0,14,0,9,0,8,0,1,0
jmztabm-api,uk.ac.ebi.pride.jmztab2.model,MZTabStringUtils,0,52,0,14,0,11,0,10,0,3
jmztabm-api,uk.ac.ebi.pride.jmztab2.model,MZTabConstants,3,0,0,0,1,0,1,0,1,0
jmztabm-api,de.isas.lipidomics.mztab2.validation,Validator,0,2,0,0,0,1,0,1,0,1
jmztabm-api,de.isas.lipidomics.mztab2.validation,MzTabValidator,40,59,11,5,4,15,8,6,0,5
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,LogicalErrorType,0,410,0,0,0,52,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType.Category,0,34,0,0,0,4,0,1,0,1
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabError,133,123,11,7,36,31,12,6,3,4
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType,121,183,15,17,21,45,17,16,3,13
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,FormatErrorType,0,298,0,0,0,38,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabException,0,24,0,0,0,9,0,4,0,4
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,CrossCheckErrorType,0,122,0,0,0,16,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorList,123,94,15,12,32,24,18,14,7,11
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType.Level,0,34,0,0,0,4,0,1,0,1
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorOverflowException,3,0,0,0,2,0,1,0,1,0
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorTypeMap,0,53,0,0,0,16,0,7,0,7
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabConversionException,3,13,0,0,2,6,1,3,1,3
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils,MZTabProperties,13,38,0,0,3,15,0,3,0,3
jmztabm-api,de.isas.mztab2.model,ColumnParameterMapping.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Error.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,OptColumnMapping.Properties,79,0,2,0,13,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Comment.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,StudyVariable,172,164,13,13,27,49,20,20,8,19
jmztabm-api,de.isas.mztab2.model,ValidationMessage.MessageTypeEnum,33,45,4,0,6,7,5,2,3,2
jmztabm-api,de.isas.mztab2.model,IndexedElement.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,CV.Properties,90,0,2,0,14,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,PublicationItem.TypeEnum,6,72,1,3,2,11,2,5,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.Properties,211,0,2,0,25,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Comment,87,77,8,6,15,23,11,10,4,10
jmztabm-api,de.isas.mztab2.model,MzTab,149,131,12,8,27,37,18,16,8,16
jmztabm-api,de.isas.mztab2.model,Software.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Database.Properties,90,0,2,0,14,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,StringList,67,0,8,0,15,0,9,0,5,0
jmztabm-api,de.isas.mztab2.model,Parameter,120,112,10,8,17,35,13,15,4,15
jmztabm-api,de.isas.mztab2.model,PublicationItem.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SpectraRef.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Metadata.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SampleProcessing.Properties,57,0,2,0,11,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.Properties,288,0,2,0,32,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Database,135,97,10,8,23,29,16,12,7,12
jmztabm-api,de.isas.mztab2.model,Uri.Properties,57,0,2,0,11,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature,329,321,26,20,43,99,33,40,10,40
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,Assay.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,StudyVariable.Properties,112,0,2,0,16,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,OptColumnMapping,82,82,8,6,13,25,10,11,3,11
jmztabm-api,de.isas.mztab2.model,Contact,104,91,9,7,16,28,12,12,4,12
jmztabm-api,de.isas.mztab2.model,Assay,166,127,13,9,28,38,19,16,8,16
jmztabm-api,de.isas.mztab2.model,ValidationMessage.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,ColumnParameterMapping,127,0,12,0,30,0,17,0,11,0
jmztabm-api,de.isas.mztab2.model,PublicationItem,66,61,7,5,12,18,9,8,3,8
jmztabm-api,de.isas.mztab2.model,Error,127,0,12,0,30,0,17,0,11,0
jmztabm-api,de.isas.mztab2.model,Uri,72,49,7,5,14,14,10,6,4,6
jmztabm-api,de.isas.mztab2.model,SpectraRef,66,61,7,5,12,18,9,8,3,8
jmztabm-api,de.isas.mztab2.model,Software,103,70,10,6,19,21,13,9,5,9
jmztabm-api,de.isas.mztab2.model,Sample.Properties,123,0,2,0,17,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,MsRun,230,217,18,14,32,68,24,28,8,28
jmztabm-api,de.isas.mztab2.model,ValidationMessage,199,39,18,0,40,14,23,6,14,6
jmztabm-api,de.isas.mztab2.model,MzTab.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.Properties,266,0,2,0,30,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Publication.Properties,57,0,2,0,11,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,IndexedElement,76,51,7,5,16,14,11,6,5,6
jmztabm-api,de.isas.mztab2.model,Comment.Properties,79,0,2,0,13,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Instrument.Properties,90,0,2,0,14,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Instrument,120,127,11,9,17,39,14,16,4,16
jmztabm-api,de.isas.mztab2.model,Metadata.Properties,354,0,2,0,38,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,Metadata,672,660,45,43,104,196,70,82,31,77
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence,441,463,31,27,52,145,41,59,12,59
jmztabm-api,de.isas.mztab2.model,CV,120,112,10,8,17,35,13,15,4,15
jmztabm-api,de.isas.mztab2.model,ValidationMessage.CategoryEnum,33,45,4,0,6,7,5,2,3,2
jmztabm-api,de.isas.mztab2.model,SampleProcessing,77,59,8,6,16,16,12,6,5,6
jmztabm-api,de.isas.mztab2.model,Publication,84,46,7,5,18,12,12,5,6,5
jmztabm-api,de.isas.mztab2.model,Parameter.Properties,90,0,2,0,14,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Sample,193,225,15,19,30,66,23,27,9,24
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary,449,536,37,39,64,158,52,61,18,57
